acto;nome;tipo;ambito_geografico;primeiro_ano;ultimo_ano;n_publicacoes;n_organizacoes;codigos_organizacoes
6356;CONTRATO COLETIVO ENTRE A CNIS - CONFEDERAÇÃO NACIONAL DAS INSTITUIÇÕES DE SOLIDARIEDADE E A FNE - FEDERAÇÃO NACIONAL DA EDUCAÇÃO E OUTROS - REVISÃO GLOBAL;Contrato coletivo de trabalho;Nacional;2012;2012;10;10;1.103.2 1.104.3 1.133.4 1.225.2 1.363.1 1.368.2 1.377.2 1.393.1 2.26.3 2.31.1
6357;ACORDO DE EMPRESA ENTRE O SPDH - SERVIÇOS PORTUGUESES DE HANDLING, SA E O SIMA - SINDICATO DAS INDÚSTRIAS METALÚRGICAS E AFINS E OUTROS - PROTOCOLO DE ENTENDIMENTO;Acordo de empresa;Nacional;2012;2020;12;7;1.298.1 1.341.1 1.346.0 1.372.0 1.470.0 1.517.0 1.639.1
6358;ACORDO DE EMPRESA ENTRE A SPDH - SERVIÇOS PORTUGUESES DE HANDLIG, SA E O STTAMP - SINDICATO DOS TRABALHADORES DOS TRANSPORTES DA AREA METROPOLITANA DO PORTO - ALTERAÇAO SALARIAL E OUTRAS;Acordo de empresa;Nacional;2012;2020;9;7;1.298.1 1.341.1 1.346.0 1.372.0 1.470.0 1.517.0 1.639.1
6359;ACORDO DE EMPRESA ENTRE A UNITED EUROPEAN CAR CARRIERS UNIPESSOAL, LDA E A FESMAR - FEDERAÇÃO DE SINDICATOS DOS TRABALHADORES DO MAR - REVISÃO GLOBAL;Acordo de empresa;Nacional;2012;2026;14;1;2.36.0
6360;ACORDO DE EMPRESA ENTRE A CTE - CENTRAL TERMOELÉTRICA DO ESTUÁRIO, LDA E O SITEMAQ - SINDICATO DA MESTRANÇA E MARINHAGEM DA MARINHA MERCANTE, ENERGIA E FOGUEIROS DE TERRA - ALTERAÇÃO SALARIAL E OUTRAS.;Acordo de empresa;Nacional;2012;2015;4;4;1.5.5 2.26.3 2.47.0 4.9.2
6361;ACORDO DE EMPRESA ENTRE O BPN - BANCO PORTUGUÊS DE NEGÓCIOS, SA E A FEBASE - FEDERAÇÃO DO SETOR FINANCEIRO;Acordo de empresa;Nacional;2012;2012;1;1;2.51.0
6362;ACORDO DE EMPRESA ENTRE O BPN - BANCO PORTUGUÊS DE NEGÓCIOS, SA E A FSIB - FEDERAÇÃO DOS SINDICATOS INDEPENDENTES DA BANCA;Acordo de empresa;Nacional;2012;2012;1;1;2.43.0
6363;ACORDO DE EMPRESA ENTRE A ADP - FERTILIZANTES, SA E A FETESE - FEDERAÇÃO DOS SINDICATOS DA INDÚSTRIA E SERVIÇOS E OUTROS - REVISÃO GLOBAL.;Acordo de empresa;Nacional;2012;2026;52;12;1.15.4 1.218.5 1.218.6 1.221.1 1.360.2 1.404.1 1.5.5 2.26.3 2.26.4 2.47.0 4.9.1 4.9.2
6364;ACORDO DE EMPRESA ENTRE A ADP FERTILIZANTES, SA E A FIEQUIMETAL - FEDERAÇÃO INTERSINDICAL DAS INDÚSTRIAS METALÚRGICAS, QUÍMICAS, ELÉCTRICAS, FARMACÊUTICA, CELULOSE, PAPEL, GRÁFICA, IMPRENSA, ENERGIA E MINAS E OUTROS - REVISÃO GLOBAL;Acordo de empresa;Nacional;2012;2026;49;7;1.143.1 1.143.2 2.46.0 2.48.0 2.48.1 2.50.0 2.6.4
6365;CONTRATO COLETIVO ENTRE A ASSOCIAÇÃO DOS OPERADORES PORTUÁRIOS DOS PORTOS DO DOURO E LEIXÕES E OUTRA E O SINDICATO DOS ESTIVADORES, CONFERENTES E TRÁFEGO DOS PORTOS DO DOURO E LEIXÕES - REVISÃO GLOBAL.;Contrato coletivo de trabalho;Distrital;2012;2024;14;3;1.490.0 1.498.1 5.459.0
