nome;sinal;subsetor;subsetor_nome;forma_empresarial;fonte;ano
IMPIC - Instituto dos Mercados Públicos, do Imobiliário e da Construção, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
IMT - Instituto da Mobilidade e dos Transportes, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
INA - Instituto Nacional de Administração, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
INEM - Instituto Nacional de Emergência Médica, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
INIAV - Instituto Nacional de Investigação Agrária e Veterinária, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
INMLCF - Instituto Nacional de Medicina Legal e Ciências Forenses, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
INSA - Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
INTELI - Inteligência em Inovação, Centro de Inovação;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
IPDJ - Instituto Português do Desporto e Juventude, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
IPQ - Instituto Português da Qualidade, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
ISCTE - Instituto Universitário de Lisboa, Fundação Pública;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
IVDP - Instituto dos Vinhos do Douro e do Porto, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
IVV - Instituto da Vinha e do Vinho, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Infraestruturas de Portugal, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Instituto Hidrográfico;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico da Guarda;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico de Beja;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico de Bragança;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico de Castelo Branco;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico de Coimbra;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico de Leiria;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico de Lisboa;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico de Portalegre;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico de Santarém;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico de Setúbal;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico de Tomar;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico de Viana Do Castelo;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico de Viseu;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico do Cávado e do Ave - Fundação Pública;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Politécnico do Porto;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Português de Acreditação, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Português de Oncologia de Coimbra Francisco Gentil, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Instituto Português de Oncologia de Lisboa Francisco Gentil, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Instituto Português de Oncologia do Porto Francisco Gentil, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Instituto Português do Mar e da Atmosfera, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Português do Sangue e da Transplantação, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Superior de Engenharia de Lisboa;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto Superior de Engenharia do Porto;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto da Conservação da Natureza e das Florestas, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto de Educação, Qualidade e Avaliação, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto do Cinema e do Audiovisual, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Instituto para o Ensino Superior, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
LNEC - Laboratório Nacional de Engenharia Civil;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
LNEG - Laboratório Nacional de Energia e Geologia, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
LNM - Laboratório Nacional do Medicamento;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
MENAC - Mecanismo Nacional Anticorrupção;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Metro - Mondego, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Metro do Porto Consultoria - Consultoria em Transportes Urbanos e Participações, Unipessoal, Lda.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Metro do Porto, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Metropolitano de Lisboa, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Museus e Monumentos de Portugal, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
OPART - Organismo de Produção Artística, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Oitante, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Parpública - Participações Públicas, SGPS, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Parvalorem, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Património Cultural, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Polis Litoral Norte - Sociedade para a Requalificação e Valorização do Litoral Norte, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Polis Litoral Ria de Aveiro - Sociedade para a Requalificação e Valorização da Ria de Aveiro, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Presidência da República;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Procuradoria Geral da República;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Promonet - Associação Promotora de Novas Empresas e Tecnologias;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Provedoria de Justiça;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
RTA - Região de Turismo do Algarve;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Rádio e Televisão de Portugal, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
SAGESECUR - Sociedade de Estudos, Desenvolvimento e Participação em Projectos, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
SAS - Instituto Politécnico da Guarda;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Instituto Politécnico de Beja;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Instituto Politécnico de Bragança;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Instituto Politécnico de Castelo Branco;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Instituto Politécnico de Coimbra;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Instituto Politécnico de Leiria;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Instituto Politécnico de Lisboa;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Instituto Politécnico de Portalegre;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Instituto Politécnico de Santarém;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Instituto Politécnico de Setúbal;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Instituto Politécnico de Tomar;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Instituto Politécnico de Viana Do Castelo;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Instituto Politécnico de Viseu;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Instituto Politécnico do Porto;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Universidade da Beira Interior;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Universidade da Madeira;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Universidade de Coimbra;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Universidade de Lisboa;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Universidade de Trás-os-Montes e Alto Douro;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Universidade de Évora;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Universidade do Algarve;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Universidade do Minho;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SAS - Universidade dos Açores;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
SIRESP - Gestão de Redes Digitais de Segurança e Emergência, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
SPMS - Serviços Partilhados do Ministério da Saúde, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
SUCH - Serviço de Utilização Comum dos Hospitais;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Santa Casa Global, Unipessoal Lda.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Serviço de Informações Estratégicas de Defesa e Militares;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Serviço de Informações e de Segurança;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Serviços Sociais da Administração Pública;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Serviços Sociais da G.N.R.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Serviços Sociais da P.S.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Serviços e Fundos Autónomos da Administração Central;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Siavilo - SGPS, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Sistema de Indemnização aos Investidores;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
TREM - Aluguer de Material Circulante, A.C.E.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
TREM II - Aluguer de Material Circulante, A.C.E.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
TTSL - Transtejo Soflusa, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Teatro Nacional D. Maria II, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Teatro Nacional de São João, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Tribunal Constitucional;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Turismo de Portugal, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Turismo do Alentejo, E.R.T.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Turismo do Porto e Norte de Portugal;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Faculdade de Arquitetura;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Faculdade de Belas-Artes;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Faculdade de Ciências;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Faculdade de Direito;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Faculdade de Farmácia;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Faculdade de Letras;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Faculdade de Medicina;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Faculdade de Medicina Dentária;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Faculdade de Medicina Veterinária;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Faculdade de Motricidade Humana;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Faculdade de Psicologia;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Instituto De Ciências Sociais;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Instituto Superior Técnico;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Instituto Superior de Agronomia;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Instituto Superior de Ciências Sociais e Politicas;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Instituto Superior de Economia e Gestão;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Instituto de Educação;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Instituto de Geografia e Ordenamento do Território;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
UL - Reitoria;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Unidade Local de Saúde da Arrábida, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Unidade Local de Saúde da Cova da Beira, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Unidade Local de Saúde da Guarda, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Unidade Local de Saúde da Lezíria, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Unidade Local de Saúde da Região de Aveiro, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
