sigla;n_organizacoes;n_linhagens;denominacoes;resolucao
INDUSTRIASCERAMICA;13;9;FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DAS INDÚSTRIAS DE CERÂMICA, CIMENTOS E SIMILARES | FEDERAÇÃO NACIONAL DOS SINDICATOS DAS INDÚSTRIAS DE CERÂMICA, CIMENTO E VIDRO | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CERÂMICA, CIMENTOS E SIMILARES DA REGIÃO CENTRO | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CERÂMICA, CIMENTOS E SIMILARES DA REGIÃO NORTE | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CERÂMICA, CIMENTOS E SIMILARES DO DISTRITO DE COIMBRA | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CERÂMICA, CIMENTOS E SIMILARES DO DISTRITO DE LEIRIA | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CERÂMICA, CIMENTOS E SIMILARES DO DISTRITO DO PORTO | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CERÂMICA, CIMENTOS E SIMILARES DO SUL E REGIÕES AUTÓNOMAS | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CERÂMICA, CIMENTOS E SIMILARES DOS DISTRITOS DE AVEIRO, VISEU E GUARDA | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CERÂMICA, CIMENTOS E SIMILARES DOS DISTRITOS DE LISBOA, SANTARÉM E PORTALEGRE | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CERÂMICA, CIMENTOS E SIMILARES, CONSTRUÇAO, MADEIRAS, MARMORES E CORTIÇAS DO SUL E REGIOES AUTONOMAS | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CERÂMICA, CIMENTOS, CONSTRUÇÃO, MADEIRAS, MÁRMORES E SIMILARES DA REGIÃO CENTRO | SINDICATO NACIONAL DOS TRABALHADORES DAS INDÚSTRIAS DE CERÂMICA, CIMENTOS, CONSTRUÇÃO E SIMILARES;
INDUSTRIASCONSTRUCAO;4;3;SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DA CONSTRUÇÃO CIVIL, MÁRMORES E MADEIRAS DO ALENTEJO | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CONSTRUÇÃO CIVIL, MADEIRAS, MÁRMORES E PEDREIRAS DO DISTRITO DO PORTO | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CONSTRUÇÃO, MADEIRAS, MÁRMORES E PEDREIRAS DOS DISTRITOS DO PORTO E AVEIRO | SINDICATO DOS TRABALHADORES NAS INDÚSTRIAS DA CONSTRUÇÃO CIVIL DOS DISTRITO DE VISEU E GUARDA;
INDUSTRIASELECTRICAS;2;2;FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DAS INDÚSTRIAS ELÉCTRICAS | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS ELÉCTRICAS DO NORTE;
INDUSTRIASMADEIRA;3;3;ASSOCIAÇÃO NACIONAL DAS INDÚSTRIAS DE MADEIRA | FEDERAÇAO DOS SINDICATOS DAS INDÚSTRIAS DE MADEIRA | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE MADEIRA DO DISTRITO DE AVEIRO;
INDUSTRIASQUIMICAS;4;2;FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DAS INDÚSTRIAS QUÍMICAS | FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DAS INDÚSTRIAS QUÍMICAS E FARMACÊUTICA DE PORTUGAL | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS QUIMICAS DO CENTRO E ILHAS | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS QUIMICAS DO CENTRO SUL E ILHAS ADJACENTES E DAS MOAGENS DO CENTRO E SUL;
INDUSTRIAVIDREIRA;2;2;ASSOCIAÇÃO DA INDÚSTRIA VIDREIRA | SINDICATO DOS TRABALHADORES DA INDÚSTRIA VIDREIRA;
JUDICIAISDISTRITO;2;2;SINDICATO DOS TRABALHADORES JUDICIAIS DO DISTRITO JUDICIAL DE LISBOA | SINDICATO DOS TRABALHADORES JUDICIAIS DO DISTRITO JUDICIAL DO PORTO;
LIVRECOMERCIANTES;2;2;ASSOCIAÇÃO LIVRE DOS COMERCIANTES DO CONCELHO DE SALVATERRA DE MAGOS | ASSOCIAÇÃO LIVRE DOS COMERCIANTES DO CONCELHO DE SINTRA;
LIVREINDUSTRIAIS;2;2;ASSOCIAÇÃO LIVRE DOS INDÚSTRIAIS DE GESSOS E CALES | ASSOCIAÇÃO LIVRE DOS INDÚSTRIAIS DE MOAGEM DO NORTE E CENTRO;
LIVREINDUSTRIAS;2;2;SINDICATO LIVRE DOS TRABALHADORES DAS INDÚSTRIAS DE CERÂMICA, CIMENTOS E SIMILARES DO DISTRITO DE VIANA DO CASTELO | SINDICATO LIVRE DOS TRABALHADORES DAS INDÚSTRIAS DE CONSTRUÇÃO CIVIL, PEDREIRAS, SERRAÇÃO DE MADEIRAS E CARPINTARIA MECÂNICA DO ALENTEJO;
LIVREPESCADORES;6;5;SINDICATO LIVRE DOS PESCADORES | SINDICATO LIVRE DOS PESCADORES (SECÇÃO DE VIANA DO CASTELO) | SINDICATO LIVRE DOS PESCADORES - SECÇÃO DE VILA PRAIA DE ÂNCORA | SINDICATO LIVRE DOS PESCADORES - SECÇÃO REGIONAL DE VILA DO CONDE | SINDICATO LIVRE DOS PESCADORES DO DISTRITO DO PORTO | SINDICATO LIVRE DOS PESCADORES E PROFISSÕES AFINS;
LIVRERODOVIARIOS;2;2;SINDICATO LIVRE DOS PROFISSIONAIS RODOVIÁRIOS E EMPREGADOS DE GARAGENS DO DISTRITO DO PORTO | SINDICATO LIVRE DOS TRABALHADORES RODOVIÁRIOS E DE GARAGENS DO DISTRITO DE BRAGA;
MAQUINISTASPRATICOS;3;3;SINDICATO DOS MAQUINISTAS PRÁTICOS, AJUDANTES E ARTÍFICES DA MARINHA MERCANTE | SINDICATO DOS MAQUINISTAS PRÁTICOS, AJUDANTES E ARTÍFICES DA MARINHA MERCANTE DE PORTUGAL | SINDICATO DOS MAQUINISTAS PRÁTICOS, AJUDANTES E ARTÍFICES DA MARINHA MERCANTE DO DISTISTRITO DE FARO;
MEDIADORESMERCADO;2;2;ASSOCIAÇÃO PORTUGUESA DE MEDIADORES DE MERCADO DE CAPITAIS | ASSOCIAÇÃO PORTUGUESA DE MEDIADORES DO MERCADO DE CAPITAIS;
METALURGICOSDISTRITO;6;6;SINDICATO DOS METALURGICOS DO DISTRITO DE CASTELO BRANCO | SINDICATO DOS METALÚRGICOS DO DISTRITO DE LEIRIA | SINDICATO DOS METALÚRGICOS DO DISTRITO DE PORTALEGRE | SINDICATO DOS METALÚRGICOS DO DISTRITO DE SANTARÉM | SINDICATO DOS METALÚRGICOS DO DISTRITO DE SETÚBAL | SINDICATO DOS METALÚRGICOS DO DISTRITO DE VIANA DO CASTELO;
OPERADORESPORTUARIOS;2;2;ASSOCIAÇÃO DOS OPERADORES PORTUÁRIOS DO PORTO DE VIANA DO CASTELO | ASSOCIAÇÃO DOS OPERADORES PORTUÁRIOS DOS PORTOS DO DOURO E LEIXÕES;
OPERARIOS;3;3;SINDICATO DOS OPERÁRIOS CARPINTEIROS, SERRAÇÕES DE MADEIRAS E OFÍCIOS CORRELATIVOS DO DISTRITO DO PORTO | SINDICATO NACIONAL DOS OPERÁRIOS CONFEITEIROS E OFÍCIOS CORRELATIVOS DO DISTRITO DO PORTO | SINDICATO NACIONAL DOS OPERÁRIOS METALÚRGICOS DO DISTRITO DE BRAGANÇA;
OPERARIOSCONSTRUCAO;8;8;FEDERAÇAO DOS SINDICATOS DOS OPERÁRIOS DA CONSTRUÇÃO CIVIL DO NORTE | SINDICATO DOS OPERÁRIOS DA CONSTRUÇÃO CIVIL DO DISTRITO DE BRAGANÇA | SINDICATO DOS OPERÁRIOS DA CONSTRUÇÃO CIVIL E OFÍCIOS CORRELATIVOS DE CHAVES | SINDICATO DOS OPERÁRIOS DA CONSTRUÇÃO CIVIL E OFÍCIOS CORRELATIVOS DO DISTRITO DE COIMBRA | SINDICATO DOS OPERÁRIOS DA CONSTRUÇÃO CIVIL E OFÍCIOS CORRELATIVOS DO DISTRITO DE VILA REAL | SINDICATO DOS OPERÁRIOS DA CONSTRUÇÃO CIVIL, MARCENARIA E CANTARIA DO DISTRITO DE SANTARÉM | SINDICATO DOS OPERÁRIOS DA CONSTRUÇÃO CIVIL, MARMORISTAS E MONTANTES DO DISTRITO DE AVEIRO | SINDICATO DOS OPERÁRIOS DA CONSTRUÇÃO CIVIL, MARMORISTAS E MONTANTES DO DISTRITO DE VIANA DO CASTELO;
OPERARIOSCORTICEIROS;3;3;SINDICATO DOS OPERÁRIOS CORTICEIROS DO DISTRITO DE FARO | SINDICATO DOS OPERÁRIOS CORTICEIROS DO DISTRITO DE PORTALEGRE | SINDICATO DOS OPERÁRIOS CORTICEIROS DO NORTE;
OPERARIOSINDUSTRIA;5;5;SINDICATO DOS OPERÁRIOS DA INDÚSTRIA DE CALÇADO, MALAS E AFINS DOS DISTRITOS DE AVEIRO E COIMBRA | SINDICATO DOS OPERÁRIOS DA INDÚSTRIA DE CURTUMES DO DISTRITO DE BRAGA | SINDICATO DOS OPERÁRIOS DA INDÚSTRIA DE CURTUMES DO DISTRITO DO PORTO | SINDICATO DOS OPERÁRIOS DAS INDÚSTRIA DE MADEIRAS DOS DISTRITOS DO PORTO E AVEIRO | SINDICATO NACIONAL DOS OPERÁRIOS DA INDÚSTRIA DE CURTUMES E OFÍCIOS CORRELATIVOS DO DISTRITO DE SANTARÉM;
OPERARIOSINDUSTRIAIS;4;4;SINDICATO DOS OPERÁRIOS DA INDÚSTRIAIS DE CURTUMES | SINDICATO DOS OPERÁRIOS DA INDÚSTRIAIS DE MÁRMORES, CANTARIAS E OFÍCIOS CORRELATIVOS DO DISTRITO DE LISBOA | SINDICATO DOS OPERÁRIOS DAS INDÚSTRIAIS DE MADEIRA DO DISTRITO DE LEIRIA | SINDICATO DOS OPERÁRIOS DAS INDÚSTRIAIS DE MADEIRAS DO DISTRITO DE VIANA DO CASTELO;
PANIFICACAOOUTROS;2;2;SINDICATO DOS TRABALHADORES DA PANIFICAÇÃO E OUTROS PRODUTOS ALIMENTARES DO DISTRITO DE VIANA DO CASTELO | SINDICATO DOS TRABALHADORES DA PANIFICAÇÃO E OUTROS PRODUTOS ALIMENTARES DO DISTRITO DE VISEU;
PESCADORESDISTRITO;5;5;SINDICATO DOS PESCADORES DO DISTRITO DE AVEIRO | SINDICATO DOS PESCADORES DO DISTRITO DE COIMBRA | SINDICATO DOS PESCADORES DO DISTRITO DE FARO | SINDICATO DOS PESCADORES DO DISTRITO DE LEIRIA | SINDICATO DOS PESCADORES DO DISTRITO DE SETUBAL;
PRODUTORESFILMES;2;2;ASSOCIAÇÃO DE PRODUTORES DE FILMES | ASSOCIAÇÃO DOS PRODUTORES DE FILMES PUBLICITÁRIOS;
PSICOLOGOS;3;2;SINDICATO NACIONAL DOS PSICÓLOGOS | SINDICATO PORTUGUES DOS PSICOLOGOS | SINDICATO PORTUGUES DOS PSICOLOGOS;
QUADROSTECNICOS;5;5;CONFEDERAÇÃO PORTUGUESA DE QUADROS TÉCNICOS E CIENTÍFICOS | SINDICATO DE QUADROS TÉCNICOS DOS CAMINHOS DE FERRO PORTUGUESES | SINDICATO DOS QUADROS E TÉCNICOS DOS TRANSPORTES RODOVIÁRIOS | SINDICATO DOS QUADROS TÉCNICOS DA INDÚSTRIA TÊXTIL DE LANIFÍCIOS | SINDICATO NACIONAL DOS QUADROS E TÉCNICOS BANCÁRIOS;
REGIONAL;2;2;ASSOCIAÇÃO REGIONAL DE SUINICULTORES DO NORDESTE | ASSOCIAÇÃO REGIONAL DOS PANIFICADORES DO BAIXO ALENTEJO E ALGARVE;
SAP;2;2;SINDICATO DOS ADVOGADOS PORTUGUESES (SAP) | SINDICATO DOS TRABALHADORES ADMINISTRATIVOS DA ACTIVIDADE PORTUÁRIA;
SECTORTEXTILBEIRA;2;2;SINDICATO DOS TRABALHADORES DO SECTOR TÊXTIL DA BEIRA ALTA | SINDICATO DOS TRABALHADORES DO SECTOR TÊXTIL DA BEIRA BAIXA;
SINTES;2;2;SINDICATO NACIONAL DOS TÉCNICOS DA SAÚDE | SINDICATO NACIONAL DOS TÉCNICOS DE SAÚDE;
SITESC;5;2;SINDICATO DE QUADROS, TÉCNICOS ADMINISTRATIVOS, SERVIÇOS E NOVAS TECNOLOGIAS | SINDICATO DOS TRABALHADORES DE ESCRITÓRIO, COMÉRCIO E SERVIÇOS DO DISTRITO DE PORTALEGRE | SINDICATO DOS TRABALHADORES DE ESCRITÓRIO, SERVIÇOS E COMÉRCIO | SINDICATO DOS TRABALHADORES DE ESCRITÓRIOS, SERVIÇOS, COMÉRCIO, ALIMENTAÇÃO, HOTELARIA E TURISMO | SINDICATO DOS TRABALHADORES DO COMÉRCIO, SERVIÇOS, ALIMENTAÇÃO, HOTELARIA E TURISMO;
SMD;2;2;SINDICATO DOS MÉDICOS DENTISTAS | SINDICATO DOS MÉDICOS DENTISTAS;
SNE;2;2;SINDICATO NACIONAL DOS ENFERMEIROS | SINDICATO NACIONAL DOS ENGENHEIROS;
SNOP;2;2;SINDICATO NACIONAL DE OFICIAIS DE POLICIA | SINDICATO NACIONAL DOS ODONTOLOGISTAS PORTUGUESES;
SPAS;2;2;ASSOCIAÇÃO PORTUGUESA DE SPAS | SINDICATO DOS PROFISSIONAIS ADMINISTRATIVOS DA SAÚDE (SPAS);
STE;3;2;SINDICATO DOS QUADROS TÉCNICOS DO ESTADO | SINDICATO DOS QUADROS TÉCNICOS DO ESTADO E DE ENTIDADES COM FINS PÚBLICOS | SINDICATO NACIONAL DOS TÉCNICOS DE EMPREGO;
STML;2;2;SINDICATO DOS TRABALHADORES DO METROPOLITANO DE LISBOA | SINDICATO DOS TRABALHADORES DO MUNICÍPIO DE LISBOA;
STMTM;2;2;SINDICATO TÊXTIL DO MINHO E TRÁS-OS-MONTES | SINDICATO TÊXTIL DO MINHO E TRÁS-OS-MONTES;
STRN;2;2;SINDICATO DOS TRABALHADORES DOS REGISTOS E DO NOTARIADO | SINDICATO DOS TRABALHADORES RODOVIÁRIOS DO NORTE;
TELEFONISTASOFICIOS;3;2;SINDICATO DOS TELEFONISTAS E OFÍCIOS CORRELATIVOS DO DISTRITO DE LISBOA | SINDICATO DOS TELEFONISTAS E OFICIOS CORRELATIVOS DO NORTE | SINDICATO NACIONAL DOS TELEFONISTAS E OFÍCIOS CORRELATIVOS DO DISTRITO DE LISBOA;
TEXTEISDISTRITO;2;2;SINDICATO DOS TRABALHADORES TÊXTEIS DO DISTRITO DE SANTARÉM | SINDICATO DOS TRABALHADORES TÊXTEIS DO DISTRITO DE SETÚBAL;
TEXTEISLANIFICIOS;5;3;FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES TÊXTEIS, LANIFÍCIOS E VESTUÁRIO DE PORTUGAL | SINDICATO DOS TRABALHADORES TÊXTEIS, LANIFÍCIOS E VESTUÁRIO DO CENTRO | SINDICATO DOS TRABALHADORES TEXTEIS, LANIFÍCIOS E VESTUÁRIO DO SUL | SINDICATO DOS TRABALHADORES TEXTEIS, LANIFICIOS, VESTUÁRIO, CALÇADO E CURTUMES DO SUL | SINDICATO DOS TRABALHADORES TÊXTEIS, LANIFÍCIOS, VESTUÁRIO, CALÇADO, ESTOFOS, CORDOARIA, LAVANDARIAS E AFINS DO CENTRO;
TRANSPORTES;24;19;FEDERAÇÃO PORTUGUESA DE TRANSPORTES | FEDERAÇÃO DOS SINDICATOS DE TRANSPORTES RODOVIÁRIOS | FEDERAÇÃO DOS SINDICATOS DE TRANSPORTES RODOVIÁRIOS E URBANOS | SINDICATO DOS PROFISSIONAIS DE TRANSPORTES, EMPREGADOS EM GARAGENS, ESTAÇÕES DE SERVIÇO, STANDS DE AUTOMÓVEIS E OFÍCIOS CORRELATIVOS DO DISTRITO DE AVEIRO | SINDICATO DOS PROFISSIONAIS DOS TRANSPORTES RODOVIÁRIOS, EMPREGADOS EM GARAGENS, ESTAÇÕES DE SERVIÇO, STAND DE AUTOMÓVEIS E OFÍCIOS CORRELATIVOS DO DISTRITO DE AVEIRO | SINDICATO DOS TRABALHADORES DE TRANSPORTES RODOVIÁRIOS DE AVEIRO | SINDICATO DOS TRABALHADORES DE TRANSPORTES RODOVIÁRIOS DO SUL | SINDICATO DOS TRABALHADORES DE TRANSPORTES RODOVIÁRIOS E URBANOS DE VIANA DO CASTELO | SINDICATO DOS TRABALHADORES DE TRANSPORTES RODOVIÁRIOS E URBANOS DE VISEU | SINDICATO DOS TRABALHADORES DE TRANSPORTES RODOVIÁRIOS E URBANOS DO PORTO | SINDICATO DOS TRABALHADORES DOS TRANSPORTES RODOVIÁRIOS, GARAGENS, POSTOS DE ABASTECIMENTOS E OFÍCIOS CORRELATIVOS DO CENTRO E SUL | SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DISTRITO DA GUARDA | SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DISTRITO DE AVEIRO | SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DISTRITO DE BRAGA | SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DISTRITO DE BRAGANÇA | SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DISTRITO DE CASTELO BRANCO | SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DISTRITO DE FARO | SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DISTRITO DE LEIRIA | SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DISTRITO DE LISBOA | SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DISTRITO DE SANTARÉM | SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DISTRITO DE VIANA DO CASTELO | SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DISTRITO DE VILA REAL | SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DISTRITO DE VISEU | SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DISTRITO DO PORTO;
TREINADORESFUTEBOL;2;2;ASSOCIAÇÃO NACIONAL DOS TREINADORES DE FUTEBOL | SINDICATO DOS TREINADORES DE FUTEBOL;
UIPSS;2;2;UNIÃO DAS INSTITUIÇÕES PARTICULARES DE SOLIDARIEDADE SOCIAL | UNIÃO DAS INSTITUIÇÕES PARTICULARES DE SOLIDARIEDADE SOCIAL;
UNIHSNOR;4;2;UNIÃO DAS ASSOCIAÇÕES DA HOTELARIA E RESTAURAÇÃO DO NORTE DE PORTUGAL | UNIÃO DAS ASSOCIAÇÕES DA INDÚSTRIA HOTELEIRA, RESTAURAÇÃO, CAFÉS, PASTELARIAS E SIMILARES DO NORTE DE PORTUGAL | UNIÃO DOS INDÚSTRIAIS DE HOTELARIA E SIMILARES DO NORTE DE PORTUGAL | UNIHSNOR PORTUGAL - UNIÃO DAS EMPRESAS DE HOTELARIA, DE RESTAURAÇÃO E DE TURISMO DE PORTUGAL;
USAN;2;2;UNIÃO DOS SINDICATOS DE AVEIRO/CGTP-IN | UNIÃO DOS SINDICATOS DO ALGARVE/CGTP-IN;
USB;2;2;UNIÃO DOS SINDICATOS DE BRAGA - CGTP-IN | UNIÃO DOS SINDICATOS DE BRAGANÇA;
USBN;2;2;UNIÃO DOS SINDICATOS DE BRAGANÇA (U.S. BRAGANÇA | UNIÃO DOS SINDICATOS DO DISTRITO DE BRAGA;
USSN;2;2;UNIÃO DOS SINDICATOS DE SETÚBAL /CGTP-IN | UNIÃO DOS SINDICATOS DO DISTRITO DE SANTARÉM/CGTP - INTERSINDICAL NACIONAL;
VESTUARIOLAVANDARIAS;2;2;SINDICATO DOS TRABALHADORES DE VESTUÁRIO, LAVANDARIAS E TINTURARIAS DO DISTRITO DE BRAGA | SINDICATO DOS TRABALHADORES DO VESTUÁRIO, LAVANDARIAS E TINTURARIAS DO DISTRITO DE AVEIRO;
ZONANORTE;3;3;SINDICATO DOS TRABALHADORES DA FUNÇÃO PÚBLICA - ZONA NORTE | SINDICATO DOS TRABALHADORES DA SAÚDE E SEGURANÇA SOCIAL - ZONA NORTE | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CELULOSE, PAPEL, CARTONAGEM E AFINS - ZONA NORTE;
