sigla;n_organizacoes;n_linhagens;denominacoes;resolucao
COMERCIALCONCELHO;10;10;ASSOCIAÇÃO COMERCIAL DO CONCELHO DE CASCAIS | ASSOCIAÇÃO COMERCIAL DO CONCELHO DE GONDOMAR | ASSOCIAÇÃO COMERCIAL DO CONCELHO DE MATOSINHOS | ASSOCIAÇÃO COMERCIAL DO CONCELHO DE OEIRAS | ASSOCIAÇÃO COMERCIAL DO CONCELHO DE OLIVEIRA DE AZEMEIS | ASSOCIAÇÃO COMERCIAL DO CONCELHO DE PAREDES | ASSOCIAÇÃO COMERCIAL DO CONCELHO DE SANTO TIRSO | ASSOCIAÇÃO COMERCIAL DO CONCELHO DE SEIA | ASSOCIAÇÃO COMERCIAL DO CONCELHO DE VALONGO | ASSOCIAÇÃO COMERCIAL DO CONCELHO DO BOMBARRAL;
COMERCIALCONCELHOS;5;5;ASSOCIAÇÃO COMERCIAL DOS CONCELHOS DAS CALDAS DA RAINHA E ÓBIDOS | ASSOCIAÇÃO COMERCIAL DOS CONCELHOS DE ABRANTES, CONSTÂNCIA E SARDOAL | ASSOCIAÇÃO COMERCIAL DOS CONCELHOS DE MONÇÃO E MELGAÇO | ASSOCIAÇÃO COMERCIAL DOS CONCELHOS DE OEIRAS E AMADORA | ASSOCIAÇÃO COMERCIAL DOS CONCELHOS DE OVAR E S.JOÃO DA MADEIRA;
COMERCIALDISTRITO;4;3;ASSOCIAÇÃO COMERCIAL DO DISTRITO DE AVEIRO | ASSOCIAÇÃO COMERCIAL DO DISTRITO DE AVEIRO | ASSOCIAÇÃO COMERCIAL DO DISTRITO DE BEJA | ASSOCIAÇÃO COMERCIAL DO DISTRITO DE ÉVORA;
COMERCIALEMPRESARIAL;3;3;ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE ABRANTES, CONSTANCIA, S.A.RDOAL, MAÇÃO E VILA DE REI | ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE SANTARÉM | ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DOS CONCELHOS DE OEIRAS E AMADORA;
COMERCIALINDUSTRIAL;29;28;ASSOCIAÇÃO  COMERCIAL E INDUSTRIAL DO CONCELHO DO FUNDÃO | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE ALIJÓ | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE ARCOS DE VALDEVEZ | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE BAIÃO | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE BARCELOS | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE GUIMARÃES | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE MIRANDELA | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE SERNANCELHE | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE VALENÇA | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE VILA DO CONDE | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE VILA POUCA DE AGUIAR | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE VILA REAL | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE VIZELA | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DO CONCELHO DE GONDOMAR | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DO CONCELHO DE PAREDES | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DO CONCELHO DE SANTO TIRSO | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DO CONCELHO DE SEIA | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DO CONCELHO DE TRANCOSO | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DO CONCELHO DE VALONGO | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DOS CONCELHOS DA COVILHÃ, BELMONTE E PENAMACOR | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DOS CONCELHOS DE MONÇÃO E MELGAÇO | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DOS CONCELHOS DE PESO DA RÉGUA,SANTA MARTA DE PENAGUIÃO E MESÃO FRIO | ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DOS CONCELHOS DE TRANCOSO, AGUIAR DA BEIRA E MEDA | ASSOCIAÇÃO COMERCIAL INDUSTRIAL DE MACEDO DE CAVALEIROS | ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E DE SERVIÇOS DA NAZARÉ | ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E DE SERVIÇOS DE BRAGANÇA | ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E DE SERVIÇOS DE VILA NOVA DE GAIA | ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E SERVIÇOS DE CASTELO BRANCO, IDANHA-A-NOVA E VILA VELHA DE RODÃO | ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E SERVIÇOS DO CONCELHO DE RESENDE;
COMERCIALINDUSTRIAS;14;13;ASSOCIAÇÃO COMERCIAL E INDÚSTRIAS DE AMARANTE | ASSOCIAÇÃO COMERCIAL E INDÚSTRIAS DE FAFE, CABECEIRAS DE BASTO E CELORICO DE BASTO | ASSOCIAÇÃO COMERCIAL E INDÚSTRIAS DE FELGUEIRAS | ASSOCIAÇÃO COMERCIAL E INDÚSTRIAS DE LAMEGO E VALE DO DOURO SUL | ASSOCIAÇÃO COMERCIAL E INDÚSTRIAS DE LAMEGO E VALE DO DOURO SUL | ASSOCIAÇÃO COMERCIAL E INDÚSTRIAS DE MARCO DE CANAVESES | ASSOCIAÇÃO COMERCIAL E INDÚSTRIAS DE RIO MAIOR | ASSOCIAÇÃO COMERCIAL E INDÚSTRIAS DE VILA NOVA DE GAIA | ASSOCIAÇÃO COMERCIAL E INDÚSTRIAS DO CONCELHO DA MAIA | ASSOCIAÇÃO COMERCIAL E INDÚSTRIAS DO CONCELHO DE ALENQUER | ASSOCIAÇÃO COMERCIAL E INDÚSTRIAS DO CONCELHO DE PENAFIEL | ASSOCIAÇÃO COMERCIAL E INDÚSTRIAS DO CONCELHO DE SANTO TIRSO | ASSOCIAÇÃO COMERCIAL E INDÚSTRIAS DOS CONCELHOS DE CASTELO BRANCO E VILA VELHA DE RODÃO | ASSOCIAÇÃO COMERCIAL E INDÚSTRIAS DOS CONCELHOS DE SERTÃ, PROENÇA-A-NOVA,VILA DE REI E OLEIROS;
COMERCIALLOUSADA;2;2;ASSOCIAÇÃO COMERCIAL DE LOUSADA | ASSOCIAÇÃO COMERCIAL DE LOUSADA;
COMERCIALSERVICOS;3;2;ASSOCIAÇÃO COMERCIAL DE SERVIÇOS E INDUSTRIAL DE ALCOBAÇA | ASSOCIAÇÃO COMERCIAL DE SERVIÇOS E INDUSTRIAL DE ALCOBAÇA E DA REGIÃO DE LEIRIA | ASSOCIAÇÃO COMERCIAL E SERVIÇOS DOS CONCELHOS DE ABRANTES, CONSTANCIA SARDOAL E MAÇÃO;
COMERCIALVILANOVA;2;2;ASSOCIAÇÃO COMERCIAL DE VILA NOVA DE FAMALICÃO | ASSOCIAÇÃO COMERCIAL DE VILA NOVA DE GAIA;
COMERCIANTES;20;17;ASSOCIAÇÃO DE COMERCIANTES DE MATERIAIS DE CONSTRUÇÃO | ASSOCIAÇÃO DE COMERCIANTES DOS CONCELHOS DE VILA FRANCA DE XIRA E ARRUDA DOS VINHOS | ASSOCIAÇÃO DE COMERCIANTES E INDÚSTRIAS DOS CONCELHOS DE TOMAR, FERREIRA DO ZÊZERE E VILA NOVA DA BARQUINHA | ASSOCIAÇÃO DE COMERCIANTES RETALHISTAS DOS CONCELHOS DE SANTARÉM, ALPIARÇA, CHAMUSCA, ALMEIRIM E CARTAXO | ASSOCIAÇÃO DOS COMERCIANTES DE COMBUSTÍVEIS DOMÉSTICOS DO DISTRITO DE LISBOA | ASSOCIAÇÃO DOS COMERCIANTES DE EQUIPAMENTOS CIENTÍFICOS DO DISTRITO DE LISBOA | ASSOCIAÇÃO DOS COMERCIANTES DE MATERIAIS DE CONSTRUÇÃO DE LISBOA | ASSOCIAÇÃO DOS COMERCIANTES DE OURIVESARIA E RELOJOARIA DO SUL | ASSOCIAÇÃO DOS COMERCIANTES DE VESTUÁRIO, CALÇADO E ARTIGOS DE PELE DO DISTRITO DE LISBOA | ASSOCIAÇÃO DOS COMERCIANTES DO CONCONCELHO DE MONTIJO E ALCOCHETE | ASSOCIAÇÃO DOS COMERCIANTES DOS CONCELHOS DE CORUCHE E SALVATERRA DE MAGOS | ASSOCIAÇÃO DOS COMERCIANTES E INDÚSTRIAIS DO CONCELHO DE SESIMBRA | ASSOCIAÇÃO DOS COMERCIANTES E TRANSFORMADORES DE RAMAS TEXTEIS | ASSOCIAÇÃO DOS COMERCIANTES RETALHISTAS DO CON. DA MARINHA GRANDE | ASSOCIAÇÃO DOS COMERCIANTES RETALHISTAS DOS CONCELHOS DE FARO E SAO BRÁS DE ALPORTEL | ASSOCIAÇÃO DOS COMERCIANTES RETALHISTAS DOS CONCELHOS DE TORRES NOVAS, ENTRONCAMENTO, ALCANENA E GOLEGÃ | ASSOCIAÇÃO DOS COMERCIANTES REVENDEDORES DE LOTARIA DO DISTRITO DE LISBOA | ASSOCIAÇÃO NACIONAL DE COMERCIANTES REVENDEDORES DE LOTARIA | ASSOCIAÇÃO NACIONAL DOS COMERCIANTES DE EQUIPAMENTOS CIENTÍFICOS, S.A.ÚDE E IMAGEM | ASSOCIAÇÃO PORTUGUESA DOS COMERCIANTES DE MATERIAIS DE CONSTRUÇÃO;
